name,price ,position,floor,ceiling
Mahommes,7000,QB,15,35
Brees,6800,QB,15,30
Brady,6000,QB,12,27
Mayfield,5800,QB,12,25
Jackson,5700,QB,8,23
Gurley,9600,RB,12,35
McCaffrey,9300,RB,12,35
Elliot,8600,RB,12,34
Kamara,8100,RB,12,34
Chubb,6700,RB,10,32
Lindsay,6300,RB,10,28
Peterson,4800,RB,7,21
Wilson Jr.,3800,RB,4,17
Samuels,3700,RB,4,16
Hopkins,9200,WR,7,23
Brown,9000,WR,7,24
Adams,8400,WR,7,24
Allen,7400,WR,5,21
Theilen,7000,WR,5,18
Baldwin,6200,WR,5,16
Sanders,5400,WR,4,17
Godwin,4900,WR,3,15
Sutton,4500,WR,3,13
Kelce,6700,TE,8,23
Ebron,5700,TE,6,21
Cook,5200,TE,5,17
Herndon,3000,TE,1,13
Andrews,2800,TE,0,11
Lacross,2700,TE,0,9
Juaguars,3800,DF,6,12
Bills,3200,DF,4,9
Giants,2500,DF,0,7
Redskins,2300,DF,0,5
