QB,RB1,RB2,WR1,WR2,WR3,TE,DF,FX,Floor,Ceiling
Mahommes,Gurley,Wilson Jr.,Theilen,Godwin,Sutton,Kelce,Juaguars,2700,56,168
Mahommes,Gurley,Wilson Jr.,Baldwin,Sanders,Godwin,Kelce,Juaguars,2600,57,170
Mahommes,Gurley,Samuels,Theilen,Godwin,Sutton,Kelce,Juaguars,2800,56,167
Mahommes,Gurley,Samuels,Baldwin,Sanders,Godwin,Kelce,Juaguars,2700,57,169
Mahommes,McCaffrey,Peterson,Baldwin,Godwin,Sutton,Kelce,Juaguars,2800,59,170
Mahommes,McCaffrey,Wilson Jr.,Allen,Godwin,Sutton,Kelce,Juaguars,2600,56,171
Mahommes,McCaffrey,Wilson Jr.,Baldwin,Sanders,Godwin,Kelce,Juaguars,2900,57,170
Mahommes,McCaffrey,Samuels,Allen,Godwin,Sutton,Kelce,Juaguars,2700,56,170
Mahommes,McCaffrey,Samuels,Theilen,Sanders,Sutton,Kelce,Juaguars,2600,57,169
Mahommes,Elliot,Lindsay,Sanders,Godwin,Sutton,Kelce,Juaguars,2800,61,177
Mahommes,Elliot,Peterson,Theilen,Godwin,Sutton,Kelce,Juaguars,2700,59,171
Mahommes,Elliot,Peterson,Baldwin,Sanders,Godwin,Kelce,Juaguars,2600,60,173
Mahommes,Elliot,Wilson Jr.,Allen,Sanders,Sutton,Kelce,Juaguars,2800,57,172
Mahommes,Elliot,Wilson Jr.,Theilen,Sanders,Godwin,Kelce,Juaguars,2800,57,171
Mahommes,Elliot,Samuels,Allen,Sanders,Sutton,Kelce,Juaguars,2900,57,171
Mahommes,Elliot,Samuels,Theilen,Sanders,Godwin,Kelce,Juaguars,2900,57,170
Mahommes,Kamara,Chubb,Sanders,Godwin,Sutton,Kelce,Juaguars,2900,61,181
Mahommes,Kamara,Peterson,Allen,Godwin,Sutton,Kelce,Juaguars,2800,59,174
Mahommes,Kamara,Peterson,Theilen,Sanders,Sutton,Kelce,Juaguars,2700,60,173
Mahommes,Kamara,Wilson Jr.,Adams,Godwin,Sutton,Kelce,Juaguars,2800,58,173
Mahommes,Kamara,Wilson Jr.,Allen,Sanders,Godwin,Kelce,Juaguars,2900,57,174
Mahommes,Kamara,Wilson Jr.,Theilen,Baldwin,Sutton,Kelce,Juaguars,2900,58,168
Mahommes,Kamara,Samuels,Adams,Godwin,Sutton,Kelce,Juaguars,2900,58,172
Mahommes,Kamara,Samuels,Allen,Baldwin,Sutton,Kelce,Juaguars,2600,58,170
Mahommes,Kamara,Samuels,Theilen,Baldwin,Godwin,Kelce,Juaguars,2600,58,169
Mahommes,Chubb,Lindsay,Allen,Godwin,Sutton,Kelce,Juaguars,2700,60,179
Mahommes,Chubb,Lindsay,Theilen,Sanders,Sutton,Kelce,Juaguars,2600,61,178
Mahommes,Chubb,Peterson,Brown,Godwin,Sutton,Kelce,Juaguars,2600,59,175
Mahommes,Chubb,Peterson,Adams,Sanders,Sutton,Kelce,Juaguars,2700,60,177
Mahommes,Chubb,Peterson,Allen,Baldwin,Sutton,Kelce,Juaguars,2900,59,173
Mahommes,Chubb,Peterson,Theilen,Baldwin,Godwin,Kelce,Juaguars,2900,59,172
Mahommes,Chubb,Wilson Jr.,Hopkins,Sanders,Sutton,Kelce,Juaguars,2900,57,172
Mahommes,Chubb,Wilson Jr.,Brown,Sanders,Godwin,Kelce,Juaguars,2700,57,175
Mahommes,Chubb,Wilson Jr.,Adams,Baldwin,Sutton,Kelce,Juaguars,2900,58,172
Mahommes,Chubb,Wilson Jr.,Allen,Theilen,Godwin,Kelce,Juaguars,2700,56,173
Mahommes,Chubb,Samuels,Hopkins,Sanders,Godwin,Kelce,Juaguars,2600,57,173
Mahommes,Chubb,Samuels,Brown,Sanders,Godwin,Kelce,Juaguars,2800,57,174
Mahommes,Chubb,Samuels,Adams,Baldwin,Godwin,Kelce,Juaguars,2600,58,173
Mahommes,Chubb,Samuels,Allen,Theilen,Godwin,Kelce,Juaguars,2800,56,172
Mahommes,Lindsay,Peterson,Hopkins,Godwin,Sutton,Kelce,Juaguars,2800,59,170
Mahommes,Lindsay,Peterson,Adams,Sanders,Godwin,Kelce,Juaguars,2700,60,175
Mahommes,Lindsay,Peterson,Allen,Baldwin,Godwin,Kelce,Juaguars,2900,59,171
Mahommes,Lindsay,Peterson,Theilen,Baldwin,Sanders,Kelce,Juaguars,2800,60,170
